"order","family","genus","scientificName","specimens","lastcollected"
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",288,2008
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",216,2011
"Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",170,2003
"Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",159,2007
"Alismatales","Hydrocharitaceae","Najas","Najas flexilis",155,2010
"Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",149,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",148,2013
"Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",141,2009
"Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",140,2005
"Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",138,2006
"Ranunculales","Berberidaceae","Berberis","Berberis thunbergii",132,2013
"Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",131,2007
"Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",131,2011
"Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",126,2008
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",123,2002
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",122,2009
"Solanales","Solanaceae","Solanum","Solanum dulcamara",122,2014
"Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",119,2011
"Rosales","Rosaceae","Rubus","Rubus allegheniensis",119,2003
"Ericales","Clethraceae","Clethra","Clethra alnifolia",117,2011
"Polypodiales","Dryopteridaceae","Athyrium","Athyrium filix-femina",116,2011
"Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",112,2004
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius",111,2007
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum",111,2014
"Asterales","Asteraceae","Aster","Aster divaricatus",110,2008
"Myrtales","Onagraceae","Ludwigia","Ludwigia palustris",108,2008
"Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",106,2007
"Asterales","Asteraceae","Solidago","Solidago rugosa",105,2013
"Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",104,2014
"Poales","Cyperaceae","Carex","Carex pensylvanica",104,1998
"Malpighiales","Violaceae","Viola","Viola blanda",103,2014
"Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum",103,2014
"Celastrales","Celastraceae","Euonymus","Euonymus alatus",101,2014
"Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus umbellata",101,2014
"","Ruscaceae","Maianthemum","Maianthemum racemosa",99,2008
"Gentianales","Apocynaceae","Asclepias","Asclepias incarnata",99,2007
"Malpighiales","Violaceae","Viola","Viola cucullata",99,2014
"Poales","Cyperaceae","Eleocharis","Eleocharis obtusa",98,2006
"Poales","Poaceae","Agrostis","Agrostis perennans",98,2002
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",97,2008
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton gramineus",96,2007
"Laurales","Lauraceae","Lindera","Lindera benzoin",96,2014
"Alismatales","Araceae","Arisaema","Arisaema triphyllum",94,2013
"Fabales","Polygalaceae","Polygala","Polygala sanguinea",94,2003
"Malpighiales","Violaceae","Viola","Viola fimbriatula",94,2002
"Poales","Cyperaceae","Scirpus","Scirpus cyperinus",94,2006
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis",94,2011
"Rosales","Rosaceae","Amelanchier","Amelanchier canadensis",94,2011
"Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",93,2010
"Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",93,2011
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",93,2014
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton crispus",92,2007
"Malpighiales","Violaceae","Viola","Viola pubescens",92,2014
"Poales","Cyperaceae","Carex","Carex rosea",92,1998
"Poales","Cyperaceae","Carex","Carex scoparia",92,1998
"Myrtales","Lythraceae","Lythrum","Lythrum salicaria",90,2013
"Poales","Cyperaceae","Carex","Carex laxiflora",90,2001
"Poales","Typhaceae","Sparganium","Sparganium americanum",90,2011
"Osmundales","Osmundaceae","Osmunda","Osmunda regalis",89,2011
"Poales","Poaceae","Agrostis","Agrostis alba",89,1992
"Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium",88,2011
"Poales","Poaceae","Panicum","Panicum lanuginosum",88,2001
"Ericales","Balsaminaceae","Impatiens","Impatiens capensis",87,2009
"Lamiales","Lamiaceae","Mentha","Mentha arvensis",87,2007
"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus abortivus",87,2014
"Asterales","Asteraceae","Achillea","Achillea millefolium",86,2012
"Cornales","Cornaceae","Cornus","Cornus amomum",86,2011
"Ericales","Ericaceae","Chimaphila","Chimaphila maculata",85,2011
"Lamiales","Phrymaceae","Mimulus","Mimulus ringens",85,2000
"Poales","Cyperaceae","Carex","Carex intumescens",85,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",84,2007
"Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum",84,2007
"Asterales","Campanulaceae","Lobelia","Lobelia inflata",84,2011
"Ericales","Ericaceae","Lyonia","Lyonia ligustrina",84,2014
"Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",84,2011
"Malpighiales","Violaceae","Viola","Viola conspersa",84,1998
"Rosales","Rosaceae","Spiraea","Spiraea tomentosa",84,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pulcher",83,2008
"Equisetales","Equisetaceae","Equisetum","Equisetum arvense",83,2014
"Lamiales","Lamiaceae","Prunella","Prunella vulgaris",83,2008
"Lamiales","Plantaginaceae","Gratiola","Gratiola aurea",83,2009
"Poales","Cyperaceae","Carex","Carex lurida",83,2011
"Poales","Poaceae","Panicum","Panicum virgatum",83,2011
"Polypodiales","Pteridaceae","Adiantum","Adiantum pedatum",83,2014
"Saxifragales","Haloragaceae","Proserpinaca","Proserpinaca palustris",83,2007
"Poales","Poaceae","Cinna","Cinna arundinacea",82,2004
"Polypodiales","Dryopteridaceae","Onoclea","Onoclea sensibilis",82,2012
"Alismatales","Hydrocharitaceae","Najas","Najas guadalupensis",81,2011
"Ericales","Myrsinaceae","Lysimachia","Lysimachia ciliata",81,2008
"Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",81,2006
"Poales","Juncaceae","Juncus","Juncus tenuis",81,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton foliosus",80,2010
"Asparagales","Orchidaceae","Spiranthes","Spiranthes cernua",80,2000
"Asterales","Asteraceae","Solidago","Solidago juncea",80,1998
"Liliales","Melanthiaceae","Trillium","Trillium erectum",80,2014
"Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris tenuis",80,2005
"Sapindales","Aceraceae","Acer","Acer pensylvanicum",80,2014
"Asterales","Asteraceae","Aster","Aster lateriflorus",79,2000
"Commelinales","Pontederiaceae","Pontederia","Pontederia cordata",79,2008
"Poales","Cyperaceae","Carex","Carex stricta",79,2006
"Poales","Poaceae","Dichanthelium","Dichanthelium sphaerocarpon",79,1990
"Asterales","Asteraceae","Aster","Aster undulatus",78,2000
"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis",78,1999
"Fagales","Myricaceae","Comptonia","Comptonia peregrina",78,2012
"Nymphaeales","Nymphaeaceae","Nuphar","Nuphar variegata",78,2006
"Poales","Eriocaulaceae","Eriocaulon","Eriocaulon septangulare",78,2006
"Poales","Poaceae","Eragrostis","Eragrostis pectinacea",78,2007
"Asterales","Asteraceae","Solidago","Solidago nemoralis",77,2008
"Malpighiales","Salicaceae","Salix","Salix discolor",77,2002
"Poales","Poaceae","Poa","Poa compressa",77,2002
"Fagales","Fagaceae","Quercus","Quercus ilicifolia",76,2010
"Lamiales","Plantaginaceae","Callitriche","Callitriche heterophylla",76,2008
"Poales","Cyperaceae","Carex","Carex gracillima",76,1998
"Sapindales","Aceraceae","Acer","Acer rubrum",76,2014
"Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana",76,2011
"Caryophyllales","Phytolaccaceae","Phytolacca","Phytolacca americana",75,2010
"Celastrales","Celastraceae","Celastrus","Celastrus orbiculatus",75,2014
"Fabales","Polygalaceae","Polygala","Polygala verticillata",75,2000
"Gentianales","Rubiaceae","Galium","Galium triflorum",75,1999
"Myrtales","Melastomataceae","Rhexia","Rhexia virginica",75,1997
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris cristata",75,2006
"Asparagales","Orchidaceae","Isotria","Isotria verticillata",74,2002
"Dipsacales","Caprifoliaceae","Lonicera","Lonicera morrowii",74,2014
"Lamiales","Orobanchaceae","Melampyrum","Melampyrum lineare",74,2008
"Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium obscurum",74,2012
"Malpighiales","Hypericaceae","Hypericum","Hypericum gentianoides",74,2006
"Piperales","Aristolochiaceae","Asarum","Asarum canadense",74,2005
"Poales","Cyperaceae","Bulbostylis","Bulbostylis capillaris",74,2010
"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus recurvatus",74,2014
"Asterales","Asteraceae","Aster","Aster novi-belgii",73,2002
"Asterales","Asteraceae","Solidago","Solidago bicolor",73,2002
"Fagales","Betulaceae","Carpinus","Carpinus caroliniana",73,2013
"Laurales","Lauraceae","Sassafras","Sassafras albidum",73,2008
"Polypodiales","Aspleniaceae","Asplenium","Asplenium platyneuron",73,2003
"Asterales","Asteraceae","Solidago","Solidago caesia",72,2008
"Brassicales","Brassicaceae","Cardamine","Cardamine pensylvanica",72,2014
"Lamiales","Lentibulariaceae","Utricularia","Utricularia radiata",72,2008
"Lamiales","Plantaginaceae","Linaria","Linaria vulgaris",72,2013
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton robbinsii",71,2006
"Asterales","Campanulaceae","Lobelia","Lobelia spicata",71,2011
"Ericales","Ericaceae","Kalmia","Kalmia latifolia",71,2014
"Fagales","Betulaceae","Betula","Betula lenta",71,2014
"Poales","Cyperaceae","Carex","Carex umbellata",71,1994
"Rosales","Rosaceae","Prunus","Prunus serotina",71,2014
"Rosales","Rosaceae","Spiraea","Spiraea latifolia",71,2001
"Asterales","Asteraceae","Aster","Aster lanceolatus",70,1998
"Lamiales","Lamiaceae","Scutellaria","Scutellaria lateriflora",70,2011
"Poales","Cyperaceae","Eleocharis","Eleocharis acicularis",70,2010
"Poales","Poaceae","Danthonia","Danthonia spicata",70,2000
"Poales","Poaceae","Elymus","Elymus virginicus",70,2001
"Asterales","Asteraceae","Aster","Aster pilosus",69,2002
"Lamiales","Plantaginaceae","Nuttallanthus","Nuttallanthus canadensis",69,2006
"Poales","Juncaceae","Juncus","Juncus effusus",69,2011
"Poales","Poaceae","Microstegium","Microstegium vimineum",69,2013
"Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia punctilobula",69,2006
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris intermedia",69,2011
"Asterales","Asteraceae","Bidens","Bidens cernua",68,1999
"Asterales","Asteraceae","Eutrochium","Eutrochium dubium",68,2008
"Dipsacales","Adoxaceae","Viburnum","Viburnum lentago",68,2014
"Ericales","Myrsinaceae","Lysimachia","Lysimachia terrestris",68,2007
"Lamiales","Lamiaceae","Monarda","Monarda fistulosa",68,1999
"Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum digitatum",68,2002
"Poales","Poaceae","Agropyron","Agropyron repens",68,1999
"Poales","Poaceae","Dichanthelium","Dichanthelium clandestinum",68,2000
"Poales","Poaceae","Poa","Poa pratensis",68,2001
"Rosales","Urticaceae","Boehmeria","Boehmeria cylindrica",68,2003
"Boraginales","Boraginaceae","Myosotis","Myosotis scorpioides",67,2013
"Crossosomatales","Staphyleaceae","Staphylea","Staphylea trifolia",67,2005
"Dipsacales","Adoxaceae","Sambucus","Sambucus canadensis",67,2009
"Liliales","Liliaceae","Erythronium","Erythronium americanum",67,2014
"Malpighiales","Violaceae","Viola","Viola pedata",67,2005
"Malvales","Malvaceae","Tilia","Tilia americana",67,2011
"Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana",67,2011
"Poales","Poaceae","Phleum","Phleum pratense",67,2011
"Polypodiales","Thelypteridaceae","Thelypteris","Thelypteris noveboracensis",67,2010
"Rosales","Rosaceae","Rubus","Rubus enslenii",67,2012
"Alismatales","Hydrocharitaceae","Najas","Najas minor",66,2009
"Apiales","Apiaceae","Zizia","Zizia aurea",66,2014
"Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta",66,2011
"Asterales","Asteraceae","Aster","Aster leavis",66,1989
"Brassicales","Brassicaceae","Arabis","Arabis laevigata",66,2000
"Lamiales","Verbenaceae","Verbena","Verbena hastata",66,2003
"Malpighiales","Clusiaceae","Triadenum","Triadenum virginicum",66,2011
"Polypodiales","Dryopteridaceae","Woodsia","Woodsia obtusa",66,1998
"Rosales","Rosaceae","Rubus","Rubus flagellaris",66,2006
"Rosales","Rosaceae","Rubus","Rubus frondosus",66,1940
"Sapindales","Aceraceae","Acer","Acer saccharum",66,2009
"Apiales","Apiaceae","Sanicula","Sanicula marilandica",65,2011
"Asterales","Asteraceae","Aster","Aster cordifolius",65,2002
"Cupressales","Cupressaceae","Juniperus","Juniperus virginiana",65,2012
"Ericales","Ericaceae","Vaccinium","Vaccinium macrocarpon",65,2014
"Lamiales","Lamiaceae","Lycopus","Lycopus virginicus",65,2011
"Lamiales","Lamiaceae","Trichostema","Trichostema dichotomum",65,2006
"Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum",65,2014
"Malpighiales","Violaceae","Viola","Viola sororia",65,2014
"Poales","Poaceae","Dichanthelium","Dichanthelium depauperatum",65,2007
"Ranunculales","Ranunculaceae","Caltha","Caltha palustris",65,2014
"","Ruscaceae","Maianthemum","Maianthemum canadense",64,2011
"","Ruscaceae","Uvularia","Uvularia perfoliata",64,2014
"Apiales","Apiaceae","Daucus","Daucus carota",64,2010
"Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium album",64,2004
"Equisetales","Equisetaceae","Equisetum","Equisetum hyemale",64,2003
"Poales","Cyperaceae","Carex","Carex crinita",64,2011
"Rosales","Ulmaceae","Celtis","Celtis occidentalis",64,2001
"Brassicales","Brassicaceae","Cardamine","Cardamine diphylla",63,1999
"Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria",63,2014
"Ericales","Ericaceae","Chamaedaphne","Chamaedaphne calyculata",63,2014
"Lamiales","Plantaginaceae","Plantago","Plantago lanceolata",63,2011
"Malpighiales","Violaceae","Viola","Viola palmata",63,2008
"Polypodiales","Thelypteridaceae","Phegopteris","Phegopteris hexagonoptera",63,1997
"Ranunculales","Ranunculaceae","Anemone","Anemone quinquefolia",63,2014
"Apiales","Apiaceae","Cicuta","Cicuta maculata",62,2011
"Asterales","Asteraceae","Lactuca","Lactuca canadensis",62,2002
"Caryophyllales","Polygonaceae","Persicaria","Persicaria hydropiperoides",62,2009
"Asterales","Asteraceae","Aster","Aster vimineus",61,2009
"Asterales","Menyanthaceae","Nymphoides","Nymphoides cordata",61,2008
"Brassicales","Brassicaceae","Barbarea","Barbarea vulgaris",61,2014
"Caryophyllales","Polygonaceae","Polygonum","Polygonum cespitosum",61,2008
"Caryophyllales","Polygonaceae","Rumex","Rumex acetosella",61,2014
"Ericales","Ericaceae","Kalmia","Kalmia angustifolia",61,2014
"Lamiales","Lentibulariaceae","Utricularia","Utricularia geminiscapa",61,2005
"Malpighiales","Violaceae","Viola","Viola rotundifolia",61,1996
"Myrtales","Lythraceae","Decodon","Decodon verticillatus",61,2009
"Poales","Cyperaceae","Carex","Carex lupulina",61,2011
"Poales","Cyperaceae","Cyperus","Cyperus filiculmis",61,1999
"Poales","Cyperaceae","Cyperus","Cyperus strigosus",61,2003
"Poales","Poaceae","Dichanthelium","Dichanthelium dichotomum",61,2012
"Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis",61,2014
"Alismatales","Hydrocharitaceae","Elodea","Elodea canadensis",60,2009
"Asterales","Asteraceae","Aster","Aster puniceus",60,2000
"Brassicales","Brassicaceae","Cardamine","Cardamine impatiens",60,2011
"Lamiales","Orobanchaceae","Pedicularis","Pedicularis canadensis",60,1998
"Lamiales","Plantaginaceae","Chelone","Chelone glabra",60,2008
"Poales","Cyperaceae","Carex","Carex communis",60,1996
"Poales","Cyperaceae","Dulichium","Dulichium arundinaceum",60,2011
"Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum",60,2014
"Poales","Poaceae","Dichanthelium","Dichanthelium lanuginosum",60,1998
"Poales","Poaceae","Glyceria","Glyceria canadensis",60,2003
"Poales","Poaceae","Glyceria","Glyceria striata",60,2000
"Alismatales","Hydrocharitaceae","Najas","Najas gracillima",59,2009
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton zosteriformis",59,2008
"Asparagales","Orchidaceae","Goodyera","Goodyera pubescens",59,2014
"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea",59,2001
"Asterales","Asteraceae","Hieracium","Hieracium paniculatum",59,2011
"Cornales","Cornaceae","Nyssa","Nyssa sylvatica",59,2012
"Cupressales","Cupressaceae","Juniperus","Juniperus communis",59,2008
"Fabales","Fabaceae","Trifolium","Trifolium arvense",59,2001
"Fagales","Betulaceae","Betula","Betula populifolia",59,2010
"Gentianales","Rubiaceae","Mitchella","Mitchella repens",59,2014
"Malpighiales","Violaceae","Viola","Viola lanceolata",59,2014
"Myrtales","Onagraceae","Oenothera","Oenothera biennis",59,2007
"Pinales","Pinaceae","Tsuga","Tsuga canadensis",59,2010
"Poales","Cyperaceae","Carex","Carex digitalis",59,2001
"Poales","Poaceae","Leersia","Leersia oryzoides",59,2011
"Rosales","Rosaceae","Potentilla","Potentilla recta",59,2011
"Saxifragales","Penthoraceae","Penthorum","Penthorum sedoides",59,2006
"Asterales","Asteraceae","Antennaria","Antennaria neglecta",58,2014
"Asterales","Asteraceae","Aster","Aster linariifolius",58,2001
"Asterales","Asteraceae","Senecio","Senecio obovatus",58,1998
"Asterales","Campanulaceae","Campanula","Campanula aparinoides",58,2001
"Ericales","Myrsinaceae","Lysimachia","Lysimachia quadrifolia",58,1998
"Gentianales","Apocynaceae","Apocynum","Apocynum androsaemifolium",58,2011
"Gentianales","Rubiaceae","Houstonia","Houstonia caerulea",58,2014
"Geraniales","Geraniaceae","Geranium","Geranium maculatum",58,2014
"Poales","Cyperaceae","Schoenoplectus","Schoenoplectus validus",58,1998
"Poales","Poaceae","Dactylis","Dactylis glomerata",58,2001
"Ranunculales","Ranunculaceae","Actaea","Actaea rubra",58,2009
"Ranunculales","Ranunculaceae","Thalictrum","Thalictrum polygamum",58,2000
"","Ruscaceae","Uvularia","Uvularia sessilifolia",57,2011
"Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum echinatum",57,2006
"Ericales","Ericaceae","Gaylussacia","Gaylussacia baccata",57,2014
"Fabales","Fabaceae","Trifolium","Trifolium pratense",57,2012
"Fagales","Betulaceae","Corylus","Corylus americana",57,2008
"Lamiales","Lamiaceae","Glechoma","Glechoma hederacea",57,2011
"Lamiales","Lentibulariaceae","Utricularia","Utricularia intermedia",57,2007
"Malpighiales","Hypericaceae","Hypericum","Hypericum canadense",57,2003
"Polypodiales","Dryopteridaceae","Deparia","Deparia acrostichoides",57,1998
"Polypodiales","Dryopteridaceae","Woodsia","Woodsia ilvensis",57,1995
"Ranunculales","Papaveraceae","Sanguinaria","Sanguinaria canadensis",57,2014
"Rosales","Rosaceae","Fragaria","Fragaria virginiana",57,2014
"Asterales","Asteraceae","Rudbeckia","Rudbeckia hirta",56,2011
"Caryophyllales","Caryophyllaceae","Saponaria","Saponaria officinalis",56,2007
"Cornales","Cornaceae","Cornus","Cornus florida",56,2013
"Cornales","Cornaceae","Cornus","Cornus racemosa",56,2007
"Fabales","Fabaceae","Lespedeza","Lespedeza capitata",56,2002
"Osmundales","Osmundaceae","Osmunda","Osmunda claytoniana",56,1998
"Poales","Cyperaceae","Carex","Carex vestita",56,1997
"Polypodiales","Aspleniaceae","Asplenium","Asplenium trichomanes",56,2000
"Rosales","Rosaceae","Rosa","Rosa multiflora",56,2013
"Apiales","Araliaceae","Aralia","Aralia nudicaulis",55,2011
"Asterales","Asteraceae","Aster","Aster ericoides",55,2002
"Asterales","Asteraceae","Aster","Aster novae-angliae",55,1998
"Asterales","Asteraceae","Euthamia","Euthamia graminifolia",55,2006
"Asterales","Asteraceae","Helianthus","Helianthus decapetalus",55,2007
"Asterales","Asteraceae","Hieracium","Hieracium scabrum",55,2013
"Asterales","Asteraceae","Krigia","Krigia virginica",55,1998
"Caryophyllales","Amaranthaceae","Froelichia","Froelichia gracilis",55,2008
"Ericales","Sarraceniaceae","Sarracenia","Sarracenia purpurea",55,2011
"Fabales","Fabaceae","Vicia","Vicia cracca",55,2014
"Poales","Poaceae","Andropogon","Andropogon scoparius",55,1991
"Poales","Poaceae","Aristida","Aristida dichotoma",55,2006
"Polypodiales","Thelypteridaceae","Thelypteris","Thelypteris palustris",55,1998
"Rosales","Rhamnaceae","Ceanothus","Ceanothus americanus",55,2008
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton perfoliatus",54,2007
"Asterales","Asteraceae","Eutrochium","Eutrochium maculatum",54,2006
"Asterales","Asteraceae","Eutrochium","Eutrochium purpureum",54,1998
"Brassicales","Brassicaceae","Arabis","Arabis lyrata",54,2000
"Gentianales","Gentianaceae","Bartonia","Bartonia virginica",54,1992
"Gentianales","Rubiaceae","Galium","Galium circaezans",54,1998
"Malpighiales","Violaceae","Viola","Viola papilionacea",54,1999
"Malvales","Thymelaeaceae","Dirca","Dirca palustris",54,2008
"Myrtales","Onagraceae","Ludwigia","Ludwigia alternifolia",54,2010
"Oxalidales","Oxalidaceae","Oxalis","Oxalis europaea",54,1990
"Poales","Cyperaceae","Carex","Carex festucacea",54,1996
"Poales","Cyperaceae","Carex","Carex folliculata",54,2011
"Poales","Cyperaceae","Carex","Carex trisperma",54,2011
"Poales","Cyperaceae","Scirpus","Scirpus atrovirens",54,2011
"Poales","Poaceae","Echinochloa","Echinochloa crus-galli",54,2001
"Rosales","Rosaceae","Prunus","Prunus pensylvanica",54,2010
"Selaginellales","Selaginellaceae","Selaginella","Selaginella rupestris",54,2005
"Caryophyllales","Amaranthaceae","Atriplex","Atriplex patula",53,2003
"Fabales","Fabaceae","Apios","Apios americana",53,2011
"Fagales","Fagaceae","Castanea","Castanea dentata",53,2010
"Fagales","Fagaceae","Quercus","Quercus alba",53,2013
"Lamiales","Scrophulariaceae","Veronica","Veronica officinalis",53,2014
"Malpighiales","Podostemaceae","Podostemum","Podostemum ceratophyllum",53,2009
"Poales","Cyperaceae","Carex","Carex virescens",53,1997
"Poales","Poaceae","Danthonia","Danthonia compressa",53,1998
"Poales","Poaceae","Poa","Poa alsodes",53,2014
"Polypodiales","Thelypteridaceae","Phegopteris","Phegopteris connectilis",53,2000
"Ranunculales","Ranunculaceae","Clematis","Clematis virginiana",53,2011
"Rosales","Rosaceae","Potentilla","Potentilla canadensis",53,2014
"Rosales","Rosaceae","Rubus","Rubus ascendens",53,1939
"Sapindales","Aceraceae","Acer","Acer negundo",53,2011
"Sapindales","Aceraceae","Acer","Acer spicatum",53,1998
"Saxifragales","Saxifragaceae","Mitella","Mitella diphylla",53,2000
"","Alliaceae","Allium","Allium tricoccum",52,2011
"Asparagales","Iridaceae","Iris","Iris versicolor",52,2006
"Asparagales","Orchidaceae","Cypripedium","Cypripedium acaule",52,2012
"Commelinales","Commelinaceae","Commelina","Commelina communis",52,2007
"Fabales","Fabaceae","Chamaecrista","Chamaecrista nictitans",52,2006
"Fabales","Fabaceae","Strophostyles","Strophostyles helvola",52,1999
"Fagales","Betulaceae","Alnus","Alnus serrulata",52,2002
"Lamiales","Lamiaceae","Lycopus","Lycopus americanus",52,2008
"Lamiales","Oleaceae","Fraxinus","Fraxinus americana",52,2011
"Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyparissias",52,2011
"Poales","Cyperaceae","Carex","Carex vulpinoidea",52,2011
"Poales","Cyperaceae","Eriophorum","Eriophorum virginicum",52,2003
"Poales","Poaceae","Elymus","Elymus riparius",52,1998
"Poales","Poaceae","Festuca","Festuca rubra",52,2007
"Poales","Poaceae","Poa","Poa palustris",52,2002
"Rosales","Rosaceae","Prunus","Prunus virginiana",52,2005
"Rosales","Rosaceae","Rosa","Rosa carolina",52,2008
"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia",52,2014
"Vitales","Vitaceae","Vitis","Vitis labrusca",52,2005
"Caryophyllales","Polygonaceae","Polygonum","Polygonum aviculare",51,1998
"Celastrales","Celastraceae","Celastrus","Celastrus scandens",51,2002
"Dioscoreales","Dioscoreaceae","Dioscorea","Dioscorea villosa",51,2003
"Dipsacales","Adoxaceae","Viburnum","Viburnum cassinoides",51,1996
"Fabales","Polygalaceae","Polygala","Polygala polygama",51,2012
"Lamiales","Lamiaceae","Lycopus","Lycopus uniflorus",51,2003
"Malpighiales","Salicaceae","Salix","Salix sericea",51,2004
"Ophioglossales","Ophioglossaceae","Botrychium","Botrychium virginianum",51,2009
"Poales","Cyperaceae","Carex","Carex platyphylla",51,1998
"Poales","Cyperaceae","Carex","Carex stipata",51,1998
"Poales","Poaceae","Panicum","Panicum capillare",51,2002
"Poales","Poaceae","Phalaris","Phalaris arundinacea",51,2013
"Polypodiales","Dennstaedtiaceae","Pteridium","Pteridium aquilinum",51,1998
"Ranunculales","Ranunculaceae","Anemone","Anemone virginiana",51,1998
"Rosales","Rosaceae","Rubus","Rubus multispinus",51,1934
"Asterales","Asteraceae","Solidago","Solidago gigantea",50,1998
"Caryophyllales","Caryophyllaceae","Silene","Silene alba",50,2008
"Ericales","Ericaceae","Vaccinium","Vaccinium vacillans",50,1987
"Fabales","Fabaceae","Amorpha","Amorpha fruticosa",50,2006
"Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum",50,2010
"Gentianales","Rubiaceae","Galium","Galium mollugo",50,2014
"Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia",50,2012
"Lamiales","Orobanchaceae","Orobanche","Orobanche uniflora",50,2011
"Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium clavatum",50,2010
"Malpighiales","Salicaceae","Salix","Salix humilis",50,2002
"Poales","Cyperaceae","Carex","Carex flava",50,1998
"Poales","Poaceae","Bromus","Bromus purgans",50,1983
"Rosales","Rosaceae","Geum","Geum canadense",50,2014
"Rosales","Rosaceae","Rubus","Rubus facetus",50,2012
"Sapindales","Aceraceae","Acer","Acer platanoides",50,2012
"Solanales","Solanaceae","Solanum","Solanum carolinense",50,2006
"Asterales","Asteraceae","Erigeron","Erigeron pulchellus",49,2014
"Caryophyllales","Polygonaceae","Polygonum","Polygonum tenue",49,2003
"Ericales","Ericaceae","Monotropa","Monotropa uniflora",49,2008
"Fabales","Fabaceae","Baptisia","Baptisia tinctoria",49,2005
"Lamiales","Lamiaceae","Teucrium","Teucrium canadense",49,2001
"Lamiales","Plantaginaceae","Plantago","Plantago rugelii",49,1998
"Liliales","Liliaceae","Medeola","Medeola virginiana",49,2011
"Myrtales","Onagraceae","Epilobium","Epilobium coloratum",49,2008
"Poales","Poaceae","Dichanthelium","Dichanthelium oligosanthes",49,2000
"Poales","Poaceae","Festuca","Festuca elatior",49,2002
"Poales","Poaceae","Muhlenbergia","Muhlenbergia mexicana",49,1998
"Poales","Poaceae","Phragmites","Phragmites australis",49,2013
"Ranunculales","Papaveraceae","Chelidonium","Chelidonium majus",49,2011
